len(train_data) 70484
len(valid_data) 7832
len(test_data) 33541
len(vocab) 240055
Train started!
##############################
=================================
******************************
loss 5.74  [learning] epoch 0>> 3.04% completed in 21.68 (sec) <<
loss 5.60  [learning] epoch 0>> 3.06% completed in 21.85 (sec) <<
loss 4.22  [learning] epoch 0>> 3.09% completed in 21.96 (sec) <<
loss 6.49  [learning] epoch 0>> 3.11% completed in 22.10 (sec) <<
loss 4.93  [learning] epoch 0>> 3.13% completed in 22.20 (sec) <<
loss 5.65  [learning] epoch 0>> 3.16% completed in 22.37 (sec) <<
loss 5.69  [learning] epoch 0>> 3.18% completed in 22.49 (sec) <<
loss 6.56  [learning] epoch 0>> 3.20% completed in 22.63 (sec) <<
loss 5.71  [learning] epoch 0>> 3.22% completed in 22.76 (sec) <<
loss 6.33  [learning] epoch 0>> 3.25% completed in 22.86 (sec) <<
loss 5.62  [learning] epoch 0>> 3.27% completed in 23.03 (sec) <<
loss 4.47  [learning] epoch 0>> 3.29% completed in 23.15 (sec) <<
loss 5.14  [learning] epoch 0>> 3.31% completed in 23.29 (sec) <<
loss 4.89  [learning] epoch 0>> 3.34% completed in 23.40 (sec) <<
loss 4.04  [learning] epoch 0>> 3.36% completed in 23.51 (sec) <<
loss 4.98  [learning] epoch 0>> 3.38% completed in 23.66 (sec) <<
loss 4.80  [learning] epoch 0>> 3.41% completed in 23.80 (sec) <<
loss 5.89  [learning] epoch 0>> 3.43% completed in 23.92 (sec) <<
loss 4.85  [learning] epoch 0>> 3.45% completed in 24.06 (sec) <<
loss 5.40  [learning] epoch 0>> 3.47% completed in 24.17 (sec) <<
loss 6.84  [learning] epoch 0>> 3.50% completed in 24.29 (sec) <<
loss 4.74  [learning] epoch 0>> 3.52% completed in 24.41 (sec) <<
loss 5.47  [learning] epoch 0>> 3.54% completed in 24.53 (sec) <<
loss 5.09  [learning] epoch 0>> 3.56% completed in 24.66 (sec) <<
loss 3.96  [learning] epoch 0>> 3.59% completed in 24.79 (sec) <<
loss 6.74  [learning] epoch 0>> 3.61% completed in 24.90 (sec) <<
loss 5.76  [learning] epoch 0>> 3.63% completed in 25.02 (sec) <<
loss 6.19  [learning] epoch 0>> 3.65% completed in 25.13 (sec) <<
loss 5.02  [learning] epoch 0>> 3.68% completed in 25.26 (sec) <<
loss 5.72  [learning] epoch 0>> 3.70% completed in 25.43 (sec) <<
loss 4.98  [learning] epoch 0>> 3.72% completed in 25.55 (sec) <<
loss 4.52  [learning] epoch 0>> 3.75% completed in 25.70 (sec) <<
loss 5.07  [learning] epoch 0>> 3.77% completed in 25.82 (sec) <<
loss 5.17  [learning] epoch 0>> 3.79% completed in 25.93 (sec) <<
loss 4.30  [learning] epoch 0>> 3.81% completed in 26.01 (sec) <<
loss 7.38  [learning] epoch 0>> 3.84% completed in 26.15 (sec) <<
loss 4.76  [learning] epoch 0>> 3.86% completed in 26.29 (sec) <<
loss 5.16  [learning] epoch 0>> 3.88% completed in 26.42 (sec) <<
loss 4.91  [learning] epoch 0>> 3.90% completed in 26.53 (sec) <<
loss 6.05  [learning] epoch 0>> 3.93% completed in 26.65 (sec) <<
loss 4.85  [learning] epoch 0>> 3.95% completed in 26.79 (sec) <<
loss 6.42  [learning] epoch 0>> 3.97% completed in 26.91 (sec) <<
loss 5.78  [learning] epoch 0>> 4.00% completed in 27.08 (sec) <<
loss 4.54  [learning] epoch 0>> 4.02% completed in 27.20 (sec) <<
loss 4.01  [learning] epoch 0>> 4.04% completed in 27.34 (sec) <<
loss 6.54  [learning] epoch 0>> 4.06% completed in 27.47 (sec) <<
loss 4.95  [learning] epoch 0>> 4.09% completed in 27.59 (sec) <<
loss 5.14  [learning] epoch 0>> 4.11% completed in 27.73 (sec) <<
loss 5.58  [learning] epoch 0>> 4.13% completed in 27.91 (sec) <<
loss 4.21  [learning] epoch 0>> 4.15% completed in 28.08 (sec) <<
loss 4.44  [learning] epoch 0>> 4.18% completed in 28.20 (sec) <<
loss 5.18  [learning] epoch 0>> 4.20% completed in 28.34 (sec) <<
loss 5.29  [learning] epoch 0>> 4.22% completed in 28.46 (sec) <<
loss 4.71  [learning] epoch 0>> 4.24% completed in 28.59 (sec) <<
loss 4.98  [learning] epoch 0>> 4.27% completed in 28.73 (sec) <<
loss 3.75  [learning] epoch 0>> 4.29% completed in 28.83 (sec) <<
loss 4.16  [learning] epoch 0>> 4.31% completed in 28.96 (sec) <<
loss 5.82  [learning] epoch 0>> 4.34% completed in 29.07 (sec) <<
loss 5.61  [learning] epoch 0>> 4.36% completed in 29.16 (sec) <<
loss 6.06  [learning] epoch 0>> 4.38% completed in 29.33 (sec) <<
loss 5.60  [learning] epoch 0>> 4.40% completed in 29.49 (sec) <<
loss 4.02  [learning] epoch 0>> 4.43% completed in 29.68 (sec) <<
loss 4.66  [learning] epoch 0>> 4.45% completed in 29.83 (sec) <<
loss 4.95  [learning] epoch 0>> 4.47% completed in 30.00 (sec) <<
loss 5.13  [learning] epoch 0>> 4.49% completed in 30.15 (sec) <<
loss 5.46  [learning] epoch 0>> 4.52% completed in 30.28 (sec) <<
loss 4.03  [learning] epoch 0>> 4.54% completed in 30.42 (sec) <<
loss 5.79  [learning] epoch 0>> 4.56% completed in 30.55 (sec) <<
loss 4.32  [learning] epoch 0>> 4.59% completed in 30.66 (sec) <<
loss 4.16  [learning] epoch 0>> 4.61% completed in 30.76 (sec) <<
loss 5.19  [learning] epoch 0>> 4.63% completed in 30.88 (sec) <<
loss 4.68  [learning] epoch 0>> 4.65% completed in 31.01 (sec) <<
loss 6.00  [learning] epoch 0>> 4.68% completed in 31.14 (sec) <<
loss 4.49  [learning] epoch 0>> 4.70% completed in 31.27 (sec) <<
loss 4.98  [learning] epoch 0>> 4.72% completed in 31.44 (sec) <<
loss 5.58  [learning] epoch 0>> 4.74% completed in 31.55 (sec) <<
loss 4.91  [learning] epoch 0>> 4.77% completed in 31.71 (sec) <<
loss 4.86  [learning] epoch 0>> 4.79% completed in 31.83 (sec) <<
loss 4.56  [learning] epoch 0>> 4.81% completed in 31.96 (sec) <<
loss 3.69  [learning] epoch 0>> 4.84% completed in 32.12 (sec) <<
loss 5.31  [learning] epoch 0>> 4.86% completed in 32.24 (sec) <<
loss 3.70  [learning] epoch 0>> 4.88% completed in 32.39 (sec) <<
loss 5.22  [learning] epoch 0>> 4.90% completed in 32.56 (sec) <<
loss 5.45  [learning] epoch 0>> 4.93% completed in 32.78 (sec) <<
loss 3.98  [learning] epoch 0>> 4.95% completed in 32.88 (sec) <<
loss 5.09  [learning] epoch 0>> 4.97% completed in 33.05 (sec) <<
loss 6.20  [learning] epoch 0>> 4.99% completed in 33.32 (sec) <<
loss 5.14  [learning] epoch 0>> 5.02% completed in 33.52 (sec) <<
loss 4.33  [learning] epoch 0>> 5.04% completed in 33.70 (sec) <<
loss 5.00  [learning] epoch 0>> 5.06% completed in 33.81 (sec) <<
loss 5.53  [learning] epoch 0>> 5.08% completed in 33.95 (sec) <<
loss 4.93  [learning] epoch 0>> 5.11% completed in 34.06 (sec) <<
loss 4.78  [learning] epoch 0>> 5.13% completed in 34.17 (sec) <<
loss 5.89  [learning] epoch 0>> 5.15% completed in 34.32 (sec) <<
loss 4.59  [learning] epoch 0>> 5.18% completed in 34.42 (sec) <<
loss 4.21  [learning] epoch 0>> 5.20% completed in 34.57 (sec) <<
loss 4.10  [learning] epoch 0>> 5.22% completed in 34.74 (sec) <<
loss 3.86  [learning] epoch 0>> 5.24% completed in 34.94 (sec) <<
loss 6.19  [learning] epoch 0>> 5.27% completed in 35.10 (sec) <<
loss 4.02  [learning] epoch 0>> 5.29% completed in 35.31 (sec) <<
loss 6.11  [learning] epoch 0>> 5.31% completed in 35.50 (sec) <<
loss 4.22  [learning] epoch 0>> 5.33% completed in 35.66 (sec) <<
loss 5.18  [learning] epoch 0>> 5.36% completed in 35.86 (sec) <<
loss 4.72  [learning] epoch 0>> 5.38% completed in 36.01 (sec) <<
loss 5.15  [learning] epoch 0>> 5.40% completed in 36.15 (sec) <<
loss 4.77  [learning] epoch 0>> 5.43% completed in 36.35 (sec) <<
loss 5.84  [learning] epoch 0>> 5.45% completed in 37.20 (sec) <<
loss 4.95  [learning] epoch 0>> 5.47% completed in 37.37 (sec) <<
loss 5.24  [learning] epoch 0>> 5.49% completed in 37.53 (sec) <<
loss 5.33  [learning] epoch 0>> 5.52% completed in 37.67 (sec) <<
loss 6.10  [learning] epoch 0>> 5.54% completed in 37.82 (sec) <<
loss 4.65  [learning] epoch 0>> 5.56% completed in 37.95 (sec) <<
loss 6.28  [learning] epoch 0>> 5.58% completed in 38.07 (sec) <<
loss 5.33  [learning] epoch 0>> 5.61% completed in 38.21 (sec) <<
loss 3.83  [learning] epoch 0>> 5.63% completed in 38.32 (sec) <<
loss 4.58  [learning] epoch 0>> 5.65% completed in 38.42 (sec) <<
loss 3.99  [learning] epoch 0>> 5.68% completed in 38.55 (sec) <<
loss 4.56  [learning] epoch 0>> 5.70% completed in 38.70 (sec) <<
loss 4.79  [learning] epoch 0>> 5.72% completed in 38.82 (sec) <<
loss 6.35  [learning] epoch 0>> 5.74% completed in 38.98 (sec) <<
loss 3.85  [learning] epoch 0>> 5.77% completed in 39.11 (sec) <<
loss 4.38  [learning] epoch 0>> 5.79% completed in 39.25 (sec) <<
loss 3.73  [learning] epoch 0>> 5.81% completed in 39.36 (sec) <<
loss 4.65  [learning] epoch 0>> 5.83% completed in 39.48 (sec) <<
loss 5.27  [learning] epoch 0>> 5.86% completed in 39.64 (sec) <<
loss 5.56  [learning] epoch 0>> 5.88% completed in 39.74 (sec) <<
loss 4.46  [learning] epoch 0>> 5.90% completed in 39.85 (sec) <<
loss 5.45  [learning] epoch 0>> 5.92% completed in 39.97 (sec) <<
loss 4.63  [learning] epoch 0>> 5.95% completed in 40.07 (sec) <<
loss 4.54  [learning] epoch 0>> 5.97% completed in 40.20 (sec) <<
loss 4.12  [learning] epoch 0>> 5.99% completed in 40.32 (sec) <<
loss 3.67  [learning] epoch 0>> 6.02% completed in 40.45 (sec) <<
loss 6.13  [learning] epoch 0>> 6.04% completed in 40.59 (sec) <<
loss 5.34  [learning] epoch 0>> 6.06% completed in 40.70 (sec) <<
loss 5.25  [learning] epoch 0>> 6.08% completed in 40.82 (sec) <<
loss 4.49  [learning] epoch 0>> 6.11% completed in 40.98 (sec) <<
loss 4.33  [learning] epoch 0>> 6.13% completed in 41.12 (sec) <<
loss 5.08  [learning] epoch 0>> 6.15% completed in 41.26 (sec) <<
loss 4.55  [learning] epoch 0>> 6.17% completed in 41.39 (sec) <<
loss 4.18  [learning] epoch 0>> 6.20% completed in 41.52 (sec) <<
loss 5.91  [learning] epoch 0>> 6.22% completed in 41.63 (sec) <<
loss 4.40  [learning] epoch 0>> 6.24% completed in 41.74 (sec) <<
loss 5.17  [learning] epoch 0>> 6.27% completed in 41.88 (sec) <<
loss 4.24  [learning] epoch 0>> 6.29% completed in 42.02 (sec) <<
loss 5.30  [learning] epoch 0>> 6.31% completed in 42.14 (sec) <<
loss 4.60  [learning] epoch 0>> 6.33% completed in 42.26 (sec) <<
loss 6.64  [learning] epoch 0>> 6.36% completed in 42.35 (sec) <<
loss 5.65  [learning] epoch 0>> 6.38% completed in 42.45 (sec) <<
loss 4.70  [learning] epoch 0>> 6.40% completed in 42.58 (sec) <<
loss 3.82  [learning] epoch 0>> 6.42% completed in 42.74 (sec) <<
loss 5.27  [learning] epoch 0>> 6.45% completed in 42.85 (sec) <<
loss 4.94  [learning] epoch 0>> 6.47% completed in 42.99 (sec) <<
loss 4.67  [learning] epoch 0>> 6.49% completed in 43.14 (sec) <<
loss 5.42  [learning] epoch 0>> 6.51% completed in 43.28 (sec) <<
loss 5.73  [learning] epoch 0>> 6.54% completed in 43.44 (sec) <<
